Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
680,35.690905,0.0401219000000026,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,163853,61403,511,0,,,,,54,63074  >  443 [ACK] Seq=163853 Ack=61403 Win=511 Len=0,HTTP_Burst,Anomalous
681,36.8892069,1.198301899999997,160.79.104.10,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,101,Application Data,HTTP_Burst,Anomalous
682,36.8908974,0.0016905000000022596,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,HTTP_Burst,Anomalous
683,36.8909977,0.00010029999999972006,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,HTTP_Burst,Anomalous
684,36.9206488,0.029651100000002373,160.79.104.10,10.33.33.87,TCP,443,33438,ACK,,False,173,281,18,0,,,,,58,443  >  33438 [ACK] Seq=173 Ack=281 Win=18 Len=0,HTTP_Burst,Anomalous
685,37.6434631,0.722814299999996,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,HTTPS,content-autofill.googleapis.com,,,91,Standard query 0xe239 HTTPS content-autofill.googleapis.com,HTTP_Burst,Anomalous
686,37.6437482,0.00028509999999926094,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,content-autofill.googleapis.com,,,91,Standard query 0x6165 AAAA content-autofill.googleapis.com,HTTP_Burst,Anomalous
687,37.6440204,0.0002722000000048297,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,content-autofill.googleapis.com,,,91,Standard query 0xd6c0 A content-autofill.googleapis.com,HTTP_Burst,Anomalous
688,37.6491328,0.005112399999994466,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,203,Standard query response 0x6165 AAAA content-autofill.googleapis.com AAAA 2001:4860:4802:38::223 AAAA 2001:4860:4802:36::223 AAAA 2001:4860:4802:34::223 AAAA 2001:4860:4802:32::223,HTTP_Burst,Anomalous
689,37.6504486,0.0013158000000004222,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,155,Standard query response 0xd6c0 A content-autofill.googleapis.com A 216.239.36.223 A 216.239.38.223 A 216.239.34.223 A 216.239.32.223,HTTP_Burst,Anomalous
690,37.6774,0.026951400000001513,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,148,Standard query response 0xe239 HTTPS content-autofill.googleapis.com SOA ns1.google.com,HTTP_Burst,Anomalous
691,37.6777043,0.00030430000000336577,10.33.33.40,10.33.33.107,ICMP,,,,,False,,,,,,,,,176,Destination unreachable (Port unreachable),HTTP_Burst,Anomalous
692,38.0921684,0.41446409999999645,10.33.33.87,204.79.197.254,TCP,60405,443,ACK,,False,1,1,250,1,,,,,55,60405  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1,HTTP_Burst,Anomalous
693,38.1295205,0.037352099999999666,204.79.197.254,10.33.33.87,TCP,443,60405,ACK,,False,1,2,16388,0,,,,,70,443  >  60405 [ACK] Seq=1 Ack=2 Win=16388 Len=0 SLE=1 SRE=2,HTTP_Burst,Anomalous
694,38.4142952,0.2847746999999998,10.33.33.87,13.107.3.254,TCP,62307,443,ACK,,False,1,1,251,1,,,,,55,62307  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1,HTTP_Burst,Anomalous
695,38.4540121,0.03971690000000194,13.107.3.254,10.33.33.87,TCP,443,62307,ACK,,False,1,2,16385,0,,,,,70,443  >  62307 [ACK] Seq=1 Ack=2 Win=16385 Len=0 SLE=1 SRE=2,HTTP_Burst,Anomalous
696,38.6873632,0.23335110000000014,10.33.33.87,13.107.42.254,TCP,51826,443,ACK,,False,1,1,251,1,,,,,55,51826  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1,HTTP_Burst,Anomalous
697,38.7322453,0.04488210000000237,13.107.42.254,10.33.33.87,TCP,443,51826,ACK,,False,1,2,16385,0,,,,,70,443  >  51826 [ACK] Seq=1 Ack=2 Win=16385 Len=0 SLE=1 SRE=2,HTTP_Burst,Anomalous
698,38.9530954,0.22085009999999983,10.33.33.87,204.79.197.222,TCP,25102,443,ACK,,False,1,1,252,1,,,,,55,25102  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1,HTTP_Burst,Anomalous
699,38.9930879,0.03999249999999677,204.79.197.222,10.33.33.87,TCP,443,25102,ACK,,False,1,2,16388,0,,,,,70,443  >  25102 [ACK] Seq=1 Ack=2 Win=16388 Len=0 SLE=1 SRE=2,HTTP_Burst,Anomalous
700,39.1014712,0.10838329999999985,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,A,android.clients.google.com,,,86,Standard query 0x0bde A android.clients.google.com,HTTP_Burst,Anomalous
701,39.1018048,0.0003335999999976025,10.33.33.40,10.33.33.107,DNS,,,,,False,,,,,AAAA,android.clients.google.com,,,86,Standard query 0x54d8 AAAA android.clients.google.com,HTTP_Burst,Anomalous
702,39.1357597,0.033954900000004784,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,366,Standard query response 0x0bde A android.clients.google.com CNAME android.l.google.com A 142.250.76.206 A 142.251.220.78 A 142.251.106.101 A 142.251.106.139 A 142.251.106.102 A 142.251.106.113 A 142.251.106.100 A 142.251.106.138 A 142.251.126.101 A 142.251.126.138 A 142.251.126.139 A 216.58.203.14 A 216.58.203.46 A 142.250.67.142 A 142.250.67.174 A 142.250.67.206,HTTP_Burst,Anomalous
703,39.1371907,0.0014309999999966294,10.33.33.107,10.33.33.40,DNS,,,,,False,,,,,,,,,110,Standard query response 0x54d8 AAAA android.clients.google.com CNAME android.l.google.com,HTTP_Burst,Anomalous
704,39.1375653,0.00037460000000066884,10.33.33.40,10.33.33.107,TCP,41764,53,SYN,,False,0,,64240,0,,,,,74,41764  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2968781663 TSecr=0 WS=128,HTTP_Burst,Anomalous
