Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
53,1.5437202,6.680000000014452e-05,104.18.32.47,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Large_Download,Anomalous
54,1.5515303,0.007810099999999931,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,4787,14390,16388,0,,,,,58,443  >  57603 [ACK] Seq=4787 Ack=14390 Win=16388 Len=0,Large_Download,Anomalous
55,1.5515682,3.7899999999924106e-05,20.42.65.89,10.33.33.87,TCP,443,57603,ACK,,False,4787,17070,16388,0,,,,,58,443  >  57603 [ACK] Seq=4787 Ack=17070 Win=16388 Len=0,Large_Download,Anomalous
56,1.551691,0.00012279999999997848,20.42.65.89,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,169,Application Data,Large_Download,Anomalous
57,1.5605107,0.008819700000000097,10.33.33.87,20.42.65.89,TCP,57603,443,"FIN,ACK",,False,18398,4898,253,0,,,,,54,"57603  >  443 [FIN, ACK] Seq=18398 Ack=4898 Win=253 Len=0",Large_Download,Anomalous
58,1.5838125,0.02330180000000004,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,7297,517,511,0,,,,,54,63074  >  443 [ACK] Seq=7297 Ack=517 Win=511 Len=0,Large_Download,Anomalous
59,1.8494716,0.2656590999999999,20.42.65.89,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,100,Application Data,Large_Download,Anomalous
60,1.8495859,0.00011429999999990059,10.33.33.87,20.42.65.89,TCP,57603,443,"RST,ACK",,False,18399,4940,0,0,,,,,54,"57603  >  443 [RST, ACK] Seq=18399 Ack=4940 Win=0 Len=0",Large_Download,Anomalous
61,1.8497078,0.00012190000000011914,20.42.65.89,10.33.33.87,TCP,443,57603,"FIN,ACK",,False,4940,18399,16383,0,,,,,58,"443  >  57603 [FIN, ACK] Seq=4940 Ack=18399 Win=16383 Len=0",Large_Download,Anomalous
62,2.2875983,0.43789049999999996,66:51:0b:e8:eb:4b,Intel_37:c9:54,ARP,,,,,False,,,,,,,,10.33.33.40,42,Who has 10.33.33.40? Tell 10.33.33.107,Large_Download,Anomalous
63,2.2885016,0.0009033000000000513,Intel_37:c9:54,66:51:0b:e8:eb:4b,ARP,,,,,False,,,,,,,,,42,10.33.33.40 is at 30:89:4a:37:c9:54,Large_Download,Anomalous
64,4.5919087,2.3034071000000003,66:51:0b:e8:eb:4b,Intel_37:c9:54,ARP,,,,,False,,,,,,,,10.33.33.87,42,Who has 10.33.33.87? Tell 10.33.33.107,Large_Download,Anomalous
65,4.5919615,5.279999999974194e-05,Intel_37:c9:54,66:51:0b:e8:eb:4b,ARP,,,,,False,,,,,,,,,42,10.33.33.87 is at 30:89:4a:37:c9:54,Large_Download,Anomalous
66,8.5063557,3.9143942000000003,160.79.104.10,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,101,Application Data,Large_Download,Anomalous
67,8.5084516,0.0020959000000004835,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Large_Download,Anomalous
68,8.5085549,0.00010329999999925121,10.33.33.87,160.79.104.10,TLSV1.2,,,,,False,,,,,,,,,89,Application Data,Large_Download,Anomalous
69,8.5362622,0.027707299999999435,160.79.104.10,10.33.33.87,TCP,443,33438,ACK,,False,44,71,18,0,,,,,58,443  >  33438 [ACK] Seq=44 Ack=71 Win=18 Len=0,Large_Download,Anomalous
70,11.0081452,2.471883,104.18.39.21,10.33.33.87,TLSV1.2,,,,,False,,,,,,,,,82,Application Data,Large_Download,Anomalous
71,11.0084111,0.0002659000000004852,10.33.33.87,104.18.39.21,TLSV1.2,,,,,False,,,,,,,,,82,Application Data,Large_Download,Anomalous
72,11.0365248,0.028113700000000463,104.18.39.21,10.33.33.87,TCP,443,60433,ACK,,False,25,29,18,0,,,,,58,443  >  60433 [ACK] Seq=25 Ack=29 Win=18 Len=0,Large_Download,Anomalous
73,12.9629107,1.9263858999999997,10.33.33.87,104.18.39.21,TLSV1.2,,,,,False,,,,,,,,,145,Application Data,Large_Download,Anomalous
74,13.0167042,0.053793499999999383,104.18.39.21,10.33.33.87,TCP,443,60433,ACK,,False,25,120,18,0,,,,,58,443  >  60433 [ACK] Seq=25 Ack=120 Win=18 Len=0,Large_Download,Anomalous
75,13.1078576,0.09115340000000138,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,7297,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=7297 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 81],Large_Download,Anomalous
76,13.1078576,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,8637,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=8637 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 81],Large_Download,Anomalous
77,13.1078576,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,9977,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=9977 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 81],Large_Download,Anomalous
78,13.1078576,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,11317,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=11317 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 81],Large_Download,Anomalous
79,13.1078576,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,12657,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=12657 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 81],Large_Download,Anomalous
80,13.1078576,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,13997,517,511,1340,,,,,1394,63074  >  443 [ACK] Seq=13997 Ack=517 Win=511 Len=1340 [TCP PDU reassembled in 81],Large_Download,Anomalous
81,13.1078576,0.0,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,386,Application Data,Large_Download,Anomalous
82,13.1079682,0.0001105999999992946,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,93,Application Data,Large_Download,Anomalous
