Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
7672,307.0869271,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,565363,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=565363 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7675],Full_Port_Scan,Anomalous
7673,307.0869271,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,566703,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=566703 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7675],Full_Port_Scan,Anomalous
7674,307.0869271,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,568043,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=568043 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7675],Full_Port_Scan,Anomalous
7675,307.0869271,0.0,10.33.33.87,4.145.11.36,TLSV1.3,,,,,False,,,,,,,,,1394,Application Data,Full_Port_Scan,Anomalous
7676,307.0869271,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,570723,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=570723 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7677,307.0869271,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,572063,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=572063 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7678,307.0869271,0.0,10.33.33.87,4.145.11.36,TCP,44527,443,ACK,,False,573403,9204,64256,1340,,,,,1394,44527  >  443 [ACK] Seq=573403 Ack=9204 Win=64256 Len=1340 [TCP PDU reassembled in 7689],Full_Port_Scan,Anomalous
7679,307.0926453,0.0057181999999897926,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,282623,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=282623 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7680,307.092646,6.999999868639861e-07,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,285303,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=285303 Win=4195328 Len=0,Full_Port_Scan,Anomalous
7681,307.0926468,8.000000093488779e-07,4.145.11.36,10.33.33.87,TCP,443,44527,ACK,,False,9204,287983,4195328,0,,,,,58,443  >  44527 [ACK] Seq=9204 Ack=287983 Win=4195328 Len=0,Full_Port_Scan,Anomalous
