Packet_No,Time,Inter_Arrival_Time,Source_IP,Destination_IP,Protocol,Src_Port,Dst_Port,TCP_Flags,TCP_Anomaly_Flag,Is_TCP_Retransmission_Event,Seq,Ack,Win,Payload_Len,DNS_Query_Type,DNS_Query_Name,TLS_SNI,ARP_Target_IP,Packet_Length,Packet_Info,Attack_Type,Label
497,80.9437585,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,5362,1,511,1340,,,,,1394,63074  >  443 [ACK] Seq=5362 Ack=1 Win=511 Len=1340 [TCP PDU reassembled in 505],Aggressive_Scan,Anomalous
498,80.9437585,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,6702,1,511,1340,,,,,1394,63074  >  443 [ACK] Seq=6702 Ack=1 Win=511 Len=1340 [TCP PDU reassembled in 505],Aggressive_Scan,Anomalous
499,80.9437585,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,8042,1,511,1340,,,,,1394,63074  >  443 [ACK] Seq=8042 Ack=1 Win=511 Len=1340 [TCP PDU reassembled in 505],Aggressive_Scan,Anomalous
500,80.9437585,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,9382,1,511,1340,,,,,1394,63074  >  443 [ACK] Seq=9382 Ack=1 Win=511 Len=1340 [TCP PDU reassembled in 505],Aggressive_Scan,Anomalous
501,80.9437585,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,10722,1,511,1340,,,,,1394,63074  >  443 [ACK] Seq=10722 Ack=1 Win=511 Len=1340 [TCP PDU reassembled in 505],Aggressive_Scan,Anomalous
502,80.9437585,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,12062,1,511,1340,,,,,1394,63074  >  443 [ACK] Seq=12062 Ack=1 Win=511 Len=1340 [TCP PDU reassembled in 505],Aggressive_Scan,Anomalous
503,80.9437585,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,13402,1,511,1340,,,,,1394,63074  >  443 [ACK] Seq=13402 Ack=1 Win=511 Len=1340 [TCP PDU reassembled in 505],Aggressive_Scan,Anomalous
504,80.9437585,0.0,10.33.33.87,104.18.32.47,TCP,63074,443,ACK,,False,14742,1,511,1340,,,,,1394,63074  >  443 [ACK] Seq=14742 Ack=1 Win=511 Len=1340 [TCP PDU reassembled in 505],Aggressive_Scan,Anomalous
505,80.9437585,0.0,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,380,Application Data,Aggressive_Scan,Anomalous
506,80.9442052,0.0004466999999976906,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,1108,Application Data,Aggressive_Scan,Anomalous
507,80.9443105,0.00010530000000130713,10.33.33.87,104.18.32.47,TLSV1.2,,,,,False,,,,,,,,,93,Application Data,Aggressive_Scan,Anomalous
508,80.9754201,0.03110959999999352,10.33.33.107,10.33.33.87,DNS,,,,,False,,,,,,,,,132,Standard query response 0x7930 HTTPS chatgpt.com SOA hassan.ns.cloudflare.com,Aggressive_Scan,Anomalous
509,80.9900287,0.014608600000002525,10.33.33.107,10.33.33.87,DNS,,,,,False,,,,,,,,,103,Standard query response 0xc8c5 A chatgpt.com A 104.18.32.47 A 172.64.155.209,Aggressive_Scan,Anomalous
510,80.9930596,0.0030308999999988373,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,2682,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=2682 Win=552 Len=0,Aggressive_Scan,Anomalous
511,80.9931313,7.170000000655818e-05,104.18.32.47,10.33.33.87,TCP,443,63074,ACK,,False,1,4022,552,0,,,,,58,443  >  63074 [ACK] Seq=1 Ack=4022 Win=552 Len=0,Aggressive_Scan,Anomalous
